sample_id	tested_genes	empirical_outliers_alpha_005	absolute_outliers
OM00762	18266	0	124
OM00881	18230	0	39
OM01130	18336	0	23
OM01282	18267	0	85
OM02364	18248	0	24
OM02412	18299	0	55
OM03592	18242	0	213
OM04338	18335	0	3
OM05166	18310	0	62
OM05252	18309	0	103
OM06339	18299	0	14
OM06865	18216	0	117
OM07111	18362	0	4
OM10508	18346	0	26
OM10641	18261	0	127
OM11815	18312	0	31
OM12102	18325	0	69
OM13378	18303	0	49
OM14157	18271	0	7
OM14461	18250	0	9
OM15187	18295	0	79
OM15663	18306	0	21
OM15760	18302	0	6
OM16162	18267	0	13
OM16302	18258	0	7
OM17283	18167	0	1617
OM17530	18232	0	52
OM18763	18344	0	118
OM20348	18278	0	81
OM20680	18323	0	117
OM21111	18228	0	188
OM23417	18295	0	39
OM25068	18286	0	32
OM26649	18204	0	182
OM27175	18262	0	27
OM27390	18226	0	2
OM27424	18333	0	175
OM28140	18277	0	30
OM28497	18279	0	46
OM28784	18294	0	51
OM29763	18256	0	83
OM30085.2	18268	0	37
OM30476	18255	0	159
OM30836	18256	0	113
OM32691	18287	0	17
OM33917	18317	0	49
OM33981	18286	0	37
OM34676	18292	0	207
OM34814	18264	0	14
OM35261	18212	0	14
OM35654	18258	0	23
OM36055	18240	0	375
OM36463	18315	0	53
OM36526	18285	0	64
OM36694	18339	0	21
OM36760	18259	0	14
OM36981	18272	0	40
OM37109	18283	0	61
OM37464	18323	0	47
OM38813	18249	0	98
OM39519	18299	0	63
OM40423	18264	0	10
OM40565	18268	0	20
OM41016	18343	0	25
OM42124	18301	0	17
OM42562	18243	0	26
OM43933	18286	0	211
OM45689	18317	0	47
OM45823	18271	0	4
OM46241	18279	0	178
OM47664	18316	0	225
OM48652	18285	0	142
OM48820	18252	0	31
OM49209	18302	0	15
OM49333	18358	0	14
OM49736	18258	0	13
OM50946	18295	0	210
OM50974	18325	0	82
OM52277	18248	0	24
OM52618	18247	0	27
OM53308	18283	0	15
OM54862	18305	0	551
OM55264	18296	0	165
OM55346	18287	0	51
OM56476	18263	0	39
OM56505	18260	0	21
OM56706	18306	0	14
OM57274	18298	0	162
OM57837	18330	0	65
OM58230	18286	0	39
OM59244	18271	0	29
OM60894	18257	0	27
OM61169	18304	0	6
OM61355	18314	0	17
OM61986	18194	0	29
OM63071	18263	0	8
OM65117	18286	0	20
OM65380	18306	0	18
OM65708	18266	0	38
OM65728	18267	0	54
OM66072	18264	0	21
OM68216	18266	0	42
OM68633	18278	0	23
OM69964	18302	0	161
OM70698	18257	0	40
OM70822	18257	0	42
OM71616	18280	0	28
OM71746	18219	0	154
OM72339	18291	0	112
OM72361	18269	0	4
OM72697	18256	0	31
OM73546	18247	0	354
OM73896	18229	0	45
OM73953	18249	0	42
OM74919	18286	0	12
OM75219_1	18268	0	202
OM75740	18298	0	29
OM77127	18291	0	239
OM77629	18285	0	159
OM78873	18248	0	32
OM79510	18314	0	19
OM79535	18275	0	60
OM80431	18273	0	14
OM81045	18272	0	54
OM82277	18244	0	4
OM84535	18294	0	86
OM84659	18283	0	33
OM85000	18258	0	199
OM85279	18242	0	165
OM85406	18292	0	47
OM87369	18305	0	79
OM88146	18313	0	53
OM88470	18257	0	130
OM88728	18306	0	66
OM90154	18256	0	4
OM90682	18275	0	12
OM91786	18327	0	65
OM91816	18292	0	50
OM92216	18282	0	57
OM92438	18236	0	34
OM92985	18281	0	25
OM93206	18270	0	29
OM94191	18308	0	12
OM94976	18281	0	40
OM96588	18278	0	79
OM99824	18282	0	63
