sample_id	tested_genes	min_empirical_p_value	min_by_q_value	significant_gene_count_by_0_05	absolute_significant_gene_count_by_alpha	min_absolute_by_adj_p_value
sample_1	18531	0.01020408163265306	1.0	0	2180	9.202433263626513e-68
sample_10	18503	0.010416666666666666	1.0	0	2209	8.92638398390474e-59
sample_100	18523	0.01020408163265306	1.0	0	2071	2.5988924175543096e-153
sample_11	18509	0.010101010101010102	1.0	0	1574	4.1506962807598657e-162
sample_12	18516	0.01	1.0	0	1391	7.453419402264519e-73
sample_13	18467	0.01020408163265306	1.0	0	1731	1.0316259751470905e-54
sample_14	18493	0.010309278350515464	1.0	0	1884	1.8691174872302312e-52
sample_15	18469	0.01020408163265306	1.0	0	1568	2.3083125044153853e-55
sample_16	18556	0.010309278350515464	1.0	0	2678	6.503756636825659e-55
sample_17	18528	0.010101010101010102	1.0	0	2917	3.263487231332937e-111
sample_18	18595	0.01	1.0	0	1457	1.4722593284467926e-183
sample_19	18526	0.010101010101010102	1.0	0	2007	1.459709958589925e-113
sample_2	18502	0.010101010101010102	1.0	0	1441	1.6317331215451383e-51
sample_20	18502	0.01020408163265306	1.0	0	1702	1.1161915065299545e-54
sample_21	18501	0.010309278350515464	1.0	0	2008	4.0422492626193384e-93
sample_22	18534	0.01	1.0	0	1986	1.188322521233185e-146
sample_23	18568	0.010101010101010102	1.0	0	1636	0.0
sample_24	18506	0.010309278350515464	1.0	0	1858	4.626898630643748e-59
sample_25	18507	0.01020408163265306	1.0	0	1960	6.301537092701337e-72
sample_26	18581	0.010101010101010102	1.0	0	5291	9.137429477195572e-132
sample_27	18542	0.01020408163265306	1.0	0	1116	8.313810856385222e-103
sample_28	18520	0.010101010101010102	1.0	0	1882	1.1001713524059649e-151
sample_29	18520	0.01020408163265306	1.0	0	1471	1.0776568414273767e-91
sample_3	18528	0.01020408163265306	1.0	0	2639	2.376460400349919e-46
sample_30	18478	0.01020408163265306	1.0	0	1702	6.439258847871182e-60
sample_31	18518	0.010101010101010102	1.0	0	2081	1.1227173868913159e-218
sample_32	18562	0.010416666666666666	1.0	0	1803	3.90409996004806e-95
sample_33	18490	0.010309278350515464	1.0	0	2087	1.720883985363394e-36
sample_34	18561	0.010752688172043012	1.0	0	1755	4.20802625666735e-59
sample_35	18553	0.010309278350515464	1.0	0	1480	2.662902897132843e-65
sample_36	18531	0.01020408163265306	1.0	0	1931	1.4600427114130437e-57
sample_37	18554	0.010101010101010102	1.0	0	2712	2.654813491564814e-68
sample_38	18519	0.010101010101010102	1.0	0	1775	7.488775648329118e-64
sample_39	18508	0.010416666666666666	1.0	0	2361	1.4807269443181668e-61
sample_4	18491	0.010416666666666666	1.0	0	2447	1.2307576401338094e-53
sample_40	18567	0.010309278350515464	1.0	0	1945	3.5374237733417866e-64
sample_41	18527	0.010101010101010102	1.0	0	3441	2.219804931795994e-123
sample_42	18607	0.01020408163265306	1.0	0	2207	3.714115108052935e-146
