sample_id	valid_gene_count	mc_passes	masked_observations	genes_scored	gene_coverage_fraction	mean_abs_residual	rmse	median_gene_score
sample_1	20010	16	48032	18531	0.9260869565217391	0.40508966435446	0.5817936306804636	0.2750373850203518
sample_2	20010	16	48032	18502	0.9246376811594202	0.38428231918724093	0.5876572409200247	0.24804713766183079
sample_3	20010	16	48032	18528	0.9259370314842579	0.5266771019055396	0.737426037576524	0.3766308098660325
sample_4	20010	16	48032	18491	0.924087956021989	0.3439773216402009	0.5087591917341858	0.23336012882796342
sample_5	20010	16	48032	18479	0.923488255872064	0.4567362244698183	0.6306842517108485	0.34000601623179616
sample_6	20010	16	48032	18536	0.9263368315842079	0.402005163858216	0.5669503623611849	0.28167861143258
sample_7	20010	16	48032	18505	0.9247876061969016	0.4080559448424568	0.5657020848722365	0.2996868245206035
sample_8	20010	16	48032	18508	0.9249375312343828	0.5848330716821983	0.788651539362127	0.44901238490287576
sample_9	20010	16	48032	18558	0.9274362818590705	0.8382269857751711	1.1152978680668837	0.6649083699821745
sample_10	20010	16	48032	18503	0.9246876561719141	0.34069245473114085	0.5078166225039561	0.22841525077819824
sample_11	20010	16	48032	18509	0.9249875062468765	0.3412194263660733	0.528554041602913	0.20769764298839605
sample_12	20010	16	48032	18516	0.9253373313343328	0.4056480138447924	0.5506297507474699	0.29158725308765426
sample_13	20010	16	48032	18467	0.9228885557221389	0.3788804967666071	0.5659938362248088	0.25226106905924617
sample_14	20010	16	48032	18493	0.9241879060469765	0.3573861364571437	0.5141296201397568	0.24927573344210252
sample_15	20010	16	48032	18469	0.9229885057471264	0.4060661691898468	0.6272205639194639	0.25500487291264196
sample_16	20010	16	48032	18556	0.9273363318340829	0.362025593836982	0.5304194308204897	0.24767157407050644
sample_17	20010	16	48032	18528	0.9259370314842579	0.5129737755062589	0.7505688550241806	0.3380186942275817
sample_18	20010	16	48032	18595	0.9292853573213393	0.38691648299918907	0.559406860140636	0.26373860807763827
sample_19	20010	16	48032	18526	0.9258370814592704	0.4497065086361526	0.7162041553355629	0.2724280123637566
sample_20	20010	16	48032	18502	0.9246376811594202	0.37799864372998676	0.5230195952572833	0.27114338923541226
sample_21	20010	16	48032	18501	0.9245877061469265	0.45176851406425006	0.6428657597675744	0.3130359285479534
sample_22	20010	16	48032	18534	0.9262368815592203	0.38208377937773647	0.6243518985967171	0.21284226430813685
sample_23	20010	16	48032	18568	0.927936031984008	0.3317143625850813	0.5115504472315041	0.2086375177619238
sample_24	20010	16	48032	18506	0.9248375812093953	0.3711932469154449	0.508809313549478	0.2719948549829919
sample_25	20010	16	48032	18507	0.924887556221889	0.4849964317733075	0.6780661543810675	0.3385515200164283
sample_26	20010	16	48032	18581	0.9285857071464267	0.9049819573568468	1.1166283226593061	0.778382720066266
sample_27	20010	16	48032	18542	0.9266366816591705	0.30239325673749623	0.4544683142032732	0.19269545923661197
sample_28	20010	16	48032	18520	0.9255372313843079	0.42590166098640625	0.6252315526864548	0.2908260889939245
sample_29	20010	16	48032	18520	0.9255372313843079	0.28975038112135876	0.46888924052083647	0.1694694113264043
sample_30	20010	16	48032	18478	0.9234382808595702	0.37142869994653116	0.542807485986421	0.25343439231017495
sample_31	20010	16	48032	18518	0.9254372813593204	0.4530719951892392	0.668295249393432	0.3048164923691877
sample_32	20010	16	48032	18562	0.9276361819090455	0.36989440002073454	0.5062644564143499	0.2725022950446875
sample_33	20010	16	48032	18490	0.9240379810094953	0.34789662956587064	0.4966206759052301	0.24764218355403173
sample_34	20010	16	48032	18561	0.9275862068965517	0.3151925296994694	0.4842686693520623	0.20264760058068276
sample_35	20010	16	48032	18553	0.9271864067966017	0.33144221080719893	0.4962354528940634	0.22169066235501325
sample_36	20010	16	48032	18531	0.9260869565217391	0.3925306040367413	0.5331505390616119	0.28978269679512225
sample_37	20010	16	48032	18554	0.9272363818090954	0.4440547968076021	0.6401701955627249	0.32087182180164675
sample_38	20010	16	48032	18519	0.9254872563718141	0.4182431657282289	0.6108401719470574	0.2814355716447408
sample_39	20010	16	48032	18508	0.9249375312343828	0.3663123584370572	0.5444747341288013	0.24417732139661447
sample_40	20010	16	48032	18567	0.9278860569715143	0.39033819127487895	0.5309117298668014	0.28392504910375016
sample_41	20010	16	48032	18527	0.9258870564717642	0.6305499673780213	0.8726782859377996	0.46458982755636624
sample_42	20010	16	48032	18607	0.9298850574712644	0.5267631309375231	0.7283884729592043	0.38167646527290344
sample_43	20010	16	48032	18495	0.9242878560719641	0.4196052402237951	0.5817155732870999	0.3023177282381626
sample_44	20010	16	48032	18481	0.9235882058970515	0.3640228192397879	0.5488965631362046	0.23881728055299867
sample_45	20010	16	48032	18516	0.9253373313343328	0.4730974328399749	0.7116828047920521	0.29675461586770335
sample_46	20010	16	48032	18518	0.9254372813593204	0.4142435060200125	0.6453010767532569	0.260627543857716
sample_47	20010	16	48032	18537	0.9263868065967017	0.4434463346130145	0.6172920535565051	0.319265753030777
sample_48	20010	16	48032	18462	0.9226386806596701	0.45097008611762956	0.633932588137143	0.322630556833288
sample_49	20010	16	48032	18497	0.9243878060969515	0.45341248282906765	0.6319996885193061	0.32655233840682485
sample_50	20010	16	48032	18539	0.9264867566216891	0.3826126132852755	0.5226975807524924	0.28481438246395774
sample_51	20010	16	48032	18508	0.9249375312343828	0.40110851124659225	0.6333099478622496	0.2378454035865462
sample_52	20010	16	48032	18503	0.9246876561719141	0.43118895498968884	0.6274814621795071	0.2902326473847308
sample_53	20010	16	48032	18547	0.9268865567216392	0.38238734573294597	0.5778184098426034	0.24133548140525818
sample_54	20010	16	48032	18533	0.9261869065467266	0.24853953485731933	0.38464740201837777	0.15866443861037238
sample_55	20010	16	48032	18526	0.9258370814592704	0.34125594083435024	0.5094730115922813	0.23012184546404812
sample_56	20010	16	48032	18541	0.9265867066466766	0.39476864012848656	0.5790246506927511	0.26950112481911975
sample_57	20010	16	48032	18526	0.9258370814592704	0.41116108466079093	0.5608577332934787	0.31620825340216197
sample_58	20010	16	48032	18524	0.9257371314342828	0.39913242978888563	0.6283416875601264	0.2406029949585597
sample_59	20010	16	48032	18510	0.9250374812593704	0.5252794570271804	0.7456162371852424	0.36518134060124924
sample_60	20010	16	48032	18566	0.9278360819590205	0.42059629928028686	0.6605303103841502	0.2566769844502783
sample_61	20010	16	48032	18519	0.9254872563718141	0.3461027810848228	0.5132801429659145	0.2334719223321805
sample_62	20010	16	48032	18469	0.9229885057471264	0.427998193075394	0.6316085580551548	0.28337839453271085
sample_63	20010	16	48032	18526	0.9258370814592704	0.6556815680097869	0.8822046221849082	0.5236131038912792
sample_64	20010	16	48032	18505	0.9247876061969016	0.4812481167438771	0.6801218261448803	0.34588885990316903
sample_65	20010	16	48032	18547	0.9268865567216392	0.3698447542401237	0.5100198104801358	0.27316742863943144
sample_66	20010	16	48032	18536	0.9263368315842079	0.5291398867306337	0.7259839572539434	0.3929310384909038
sample_67	20010	16	48032	18542	0.9266366816591705	0.37590846114221454	0.5191690068316501	0.2824115740009867
sample_68	20010	16	48032	18509	0.9249875062468765	0.3188436875306474	0.5175946468083716	0.19056972861289978
sample_69	20010	16	48032	18530	0.9260369815092454	0.45261491699251216	0.6340949358035638	0.31836241073351135
sample_70	20010	16	48032	18554	0.9272363818090954	0.38628784813638917	0.5274262137309047	0.2852472423230167
sample_71	20010	16	48032	18544	0.9267366316841579	0.3829163652104243	0.5229558382450966	0.28177820775612394
sample_72	20010	16	48032	18550	0.9270364817591205	0.29583523100931625	0.4693192976049815	0.1860400527005574
sample_73	20010	16	48032	18547	0.9268865567216392	0.37574140099285736	0.5515995215920779	0.25405216820239634
sample_74	20010	16	48032	18555	0.9272863568215892	0.3679700729348224	0.5122746842085955	0.2788919672619734
sample_75	20010	16	48032	18580	0.928535732133933	0.33098013638267054	0.49172805705700273	0.2216687339047591
sample_76	20010	16	48032	18515	0.9252873563218391	0.3267343806030424	0.49454435379189315	0.21557985033359417
sample_77	20010	16	48032	18474	0.9232383808095952	0.4109191582276624	0.6160746490115522	0.27047583748932225
sample_78	20010	16	48032	18581	0.9285857071464267	0.4108283106450027	0.5658040330405842	0.2906830807526906
sample_79	20010	16	48032	18500	0.9245377311344328	0.42286938198252216	0.65109986436482	0.24276064320520302
sample_80	20010	16	48032	18560	0.927536231884058	0.6842757487440908	0.9138885912138435	0.509073495447212
sample_81	20010	16	48032	18546	0.9268365817091454	0.3337792132890886	0.4799234457252846	0.23717289381503703
sample_82	20010	16	48032	18505	0.9247876061969016	0.34586895237450715	0.5299363969577174	0.2230974134479343
sample_83	20010	16	48032	18521	0.9255872063968016	0.4037030972600737	0.6324027123016123	0.24316434403605133
sample_84	20010	16	48032	18546	0.9268365817091454	0.3449675270274056	0.5126228596651193	0.23440496927143412
sample_85	20010	16	48032	18527	0.9258870564717642	0.3886092443851095	0.5534063555514355	0.27932503819465637
sample_86	20010	16	48032	18564	0.927736131934033	0.5243548308235527	0.7136440288106465	0.3822672656863091
sample_87	20010	16	48032	18497	0.9243878060969515	0.3372041383906414	0.5226053006739312	0.2080325996995732
sample_88	20010	16	48032	18502	0.9246376811594202	0.4721785782703616	0.6782731423072481	0.33019221743354
sample_89	20010	16	48032	18531	0.9260869565217391	0.3720603699240396	0.5222020160239151	0.26351590987980594
sample_90	20010	16	48032	18511	0.9250874562718641	0.48622884890824963	0.6758171296151532	0.3430305023988088
sample_91	20010	16	48032	18522	0.9256371814092954	0.3905658731570738	0.6287910531746854	0.23264754270168747
sample_92	20010	16	48032	18463	0.922688655672164	0.4388867341800192	0.6051706260177855	0.3230559006333351
sample_93	20010	16	48032	18555	0.9272863568215892	0.3849466736211943	0.586563158385573	0.24370755436370684
sample_94	20010	16	48032	18489	0.9239880059970015	0.3366727410075302	0.5123240006167681	0.21399523218207772
sample_95	20010	16	48032	18510	0.9250374812593704	0.38843510038832413	0.5613112108511945	0.262316343066729
sample_96	20010	16	48032	18513	0.9251874062968516	0.41945905693851765	0.6764737024621065	0.23651868603539775
sample_97	20010	16	48032	18511	0.9250874562718641	0.34447981035211866	0.5331218628057544	0.22042951124416055
sample_98	20010	16	48032	18538	0.9264367816091954	0.985601109353052	1.2050549728408286	0.8702400181415497
